Collision ID;Date;Time;Borough;Street Name;Cross Street;Latitude;Longitude;Contributing Factor;Vehicle Type;Persons Injured;Persons Killed;Pedestrians Injured;Pedestrians Killed;Cyclists Injured;Cyclists Killed;Motorists Injured;Motorists Killed
4594758;01/01/2023;10:30:00;Bronx;Bronx River Avenue;;40836407;-7387678;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594707;01/01/2023;05:22:00;Brooklyn;Church Avenue;;40643032;-7397887;Driver Inattention/Distraction;Passenger Vehicle;3;0;0;0;0;0;3;0
4594771;01/01/2023;18:30:00;Staten Island;Hatfield Place;;4063299;-7413758;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594557;01/01/2023;18:06:00;Queens;162 Street;Station Road;40761406;-7380385;Following Too Closely;Passenger Vehicle;1;0;0;0;0;0;1;0
4594486;01/01/2023;07:45:00;Staten Island;Clove Road;Richmond Road;40608776;-7409113;Pavement Slippery;Passenger Vehicle;0;0;0;0;0;0;0;0
4594578;01/01/2023;19:50:00;Bronx;Cross Bronx Expy;;40837894;-7388138;Failure to Yield Right-of-Way;Transport;0;0;0;0;0;0;0;0
4594809;01/01/2023;01:19:00;Manhattan;Avenue Of The Americas;Washington Place;40732315;-7400052;Failure to Yield Right-of-Way;Not Reported;1;0;1;0;0;0;0;0
4594943;01/01/2023;03:02:00;Queens;23 Street;31 Drive;40765373;-7392966;Unsafe Speed;Passenger Vehicle;1;0;0;0;0;0;1;0
4594473;01/01/2023;14:15:00;Brooklyn;Brooklyn Queens Expressway;;40691536;-7399912;Driver Inattention/Distraction;Passenger Vehicle;0;0;0;0;0;0;0;0
4594404;01/01/2023;07:00:00;Bronx;Pelham Parkway South;;40856625;-73866844;Unspecified;Passenger Vehicle;0;0;0;0;0;0;0;0
4594621;01/01/2023;23:30:00;Brooklyn;Williamsburg Street West;Wythe Avenue;4070166;-73961464;Following Too Closely;Passenger Vehicle;0;0;0;0;0;0;0;0
